model_path,"img_old,label_old","img_new,label_old","img_old,label_new","img_new,label_new",dataset,type,finetuned
Llava-7b,0.6507310943568654,0.2052090472926662,0.1685515193054603,0.6003198537811285,WebQA,feat,0
Llava-13b,0.6840872743888509,0.2466643819968014,0.2228466986520447,0.5964359150102809,WebQA,feat,0
Qwen2,0.7265138154027042,0.2600480109739368,0.2340763603109281,0.5992569730224051,WebQA,feat,0
Phi3,0.5582019648160841,0.2396961389079278,0.1920265021704363,0.4566385978654655,WebQA,feat,0
GPT-4o-mini,0.6731893991318255,0.2968700022846698,0.2257482293808544,0.4544918241456966,WebQA,feat,0
Llava-7b,0.5673015873015874,0.3571428571428571,0,0,WebQA,conf,0
Llava-13b,0.5947619047619047,0.3206825396825397,0,0,WebQA,conf,0
Qwen2,0.6863215084691595,0.3773113272154499,0,0.000958773,WebQA,conf,0
Phi3,0.4939682539682539,0.2973015873015873,0,0.001904762,WebQA,conf,0
GPT-4o-mini,0.6071111111111112,0.3936065759637188,0,0.003809524,WebQA,conf,0
Llava-7b,0.4513618677042801,0.4163424124513619,0.003891051,0.003891051,WebQA,counter,0
Llava-13b,0.3813229571984435,0.3540856031128405,0,0.011673152,WebQA,counter,0
Qwen2,0.5058365758754864,0.3832684824902724,0.035019455,0.1634241245136186,WebQA,counter,0
Phi3,0.4766536964980545,0.3424124513618677,0.058365759,0.1167315175097276,WebQA,counter,0
GPT-4o-mini,0.4319066147859922,0.3268482490272373,0.070038911,0.1867704280155642,WebQA,counter,0
Llava-7b,0.6054644808743169,0.3928961748633879,0.023497268,0.036065574,VQA,counter,0
Llava-13b,0.5693989071038251,0.3781420765027322,0.024590164,0.050819672,VQA,counter,0
Qwen2,0.6202185792349727,0.3256830601092896,0.101639344,0.3,VQA,counter,0
Phi3,0.4639344262295082,0.248087432,0.1065573770491803,0.2683060109289617,VQA,counter,0
GPT-4o-mini,0.5224043715846994,0.2092896174863387,0.1688524590163934,0.4961748633879781,VQA,counter,0
Llava-7b,0.5337552742616034,0.2721518987341772,0.052742616,0.067510549,OKVQA,counter,0
Llava-13b,0.5316455696202531,0.2573839662447257,0.044303797,0.056962025,OKVQA,counter,0
Qwen2,0.620253165,0.229957806,0.05907173,0.1751054852320675,OKVQA,counter,0
Phi3,0.4324894514767932,0.1476793248945147,0.099156118,0.2974683544303797,OKVQA,counter,0
GPT-4o-mini,0.6118143459915611,0.2679324894514768,0.1329113924050632,0.3670886075949367,OKVQA,counter,0
