model_path,"img_old,label_old","img_new,label_old","img_old,label_new","img_new,label_new","img_old,label_ret","img_new,label_ret",dataset,type
llava-ft,0.6878618753875779,0.23271647246972815,0.19881197167009368,0.3631711217729039,0.0006854009595613434,0.24400274160383825,webqa,perturbed
llava,0.6840872743888509,0.24666438199680146,0.22284669865204476,0.5964359150102809,0.0,0.0027416038382453737,webqa,perturbed
Qwen2-VL,0.7265138154027042,0.26004801097393687,0.23407636031092818,0.5992569730224051,0.0,0.0075445816186556925,webqa,perturbed
Phi3,0.5582019648160841,0.23969613890792782,0.19202650217043638,0.45663859786546557,0.013022618231665525,0.023989033584647018,webqa,perturbed
Qwen2-VL-ft,0.4965729952021933,0.26593557230980125,0.157642220699109,0.681631254283756,0.29472241261137766,0.0363262508567512,webqa,perturbed
Phi3-ft,0.5085675119945168,0.20253598355037697,0.15832762165867031,0.6901987662782728,0.3289924605894448,0.07059629883481837,webqa,perturbed
GPT-4o-mini,0.6731893991318255,0.29687000228466986,0.22574822938085448,0.45449182414569667,0.003427004797806717,0.04592186429061001,webqa,perturbed
llava-ft,0.6130158730158731,0.3636190476190476,0.0,0.0,0.0,0.09714285714285714,webqa,conflicting
llava,0.5947619047619047,0.32068253968253974,0.0,0.0,0.0,0.0,webqa,conflicting
Qwen2-VL,0.6863215084691595,0.3773113272154499,0.0,0.0,0.0,0.0009587727708533077,webqa,conflicting
Phi3,0.49396825396825395,0.29730158730158734,0.0,0.0,0.0,0.0019047619047619048,webqa,conflicting
Qwen2-VL-ft,0.10476190476190476,0.008571428571428572,0.0,0.0,0.8342857142857143,0.9828571428571429,webqa,conflicting
Phi3-ft,0.06095238095238095,0.021904761904761906,0.0,0.0,0.939047619047619,0.9428571428571428,webqa,conflicting
GPT-4o-mini,0.6071111111111112,0.39360657596371884,0.0,0.0,0.0,0.0038095238095238095,webqa,conflicting
llava-ft,0.4980544747081712,0.4669260700389105,0.0,0.0,0.007782101167315175,0.007782101167315175,webqa,counterfactual
llava,0.38132295719844356,0.3540856031128405,0.0,0.0,0.0,0.011673151750972763,webqa,counterfactual
Qwen2-VL,0.5058365758754864,0.3832684824902724,0.0,0.0,0.03501945525291829,0.16342412451361868,webqa,counterfactual
Phi3,0.4766536964980545,0.3424124513618677,0.0,0.0,0.058365758754863814,0.11673151750972763,webqa,counterfactual
Qwen2-VL-ft,0.5603112840466926,0.06614785992217899,0.0,0.0,0.05058365758754864,0.8365758754863813,webqa,counterfactual
Phi3-ft,0.5486381322957199,0.19066147859922178,0.0,0.0,0.03501945525291829,0.6381322957198443,webqa,counterfactual
GPT-4o-mini,0.43190661478599224,0.32684824902723736,0.0,0.0,0.07003891050583658,0.1867704280155642,webqa,counterfactual
llava-ft,0.08688524590163935,0.08688524590163935,0.0,0.0,0.000546448087431694,0.010382513661202186,vqa,counterfactual
llava,0.5693989071038251,0.37814207650273224,0.0,0.0,0.02459016393442623,0.05081967213114754,vqa,counterfactual
Qwen2-VL,0.6202185792349727,0.3256830601092896,0.0,0.0,0.10163934426229508,0.3,vqa,counterfactual
Phi3,0.4639344262295082,0.24808743169398906,0.0,0.0,0.10655737704918032,0.2683060109289617,vqa,counterfactual
Qwen2-VL-ft,0.6819672131147541,0.2819672131147541,0.009289617486338797,0.9923497267759562,0.009289617486338797,0.9923497267759562,vqa,counterfactual
Phi3-ft,0.6573770491803279,0.2830601092896175,0.013114754098360656,0.987431693989071,0.013114754098360656,0.987431693989071,vqa,counterfactual
GPT-4o-mini,0.5224043715846994,0.20928961748633879,0.0,0.0,0.16885245901639345,0.4961748633879781,vqa,counterfactual
llava-ft,0.12869198312236288,0.06118143459915612,0.0,0.0,0.004219409282700422,0.029535864978902954,okvqa,counterfactual
llava,0.5316455696202531,0.25738396624472576,0.0,0.0,0.04430379746835443,0.056962025316455694,okvqa,counterfactual
Qwen2-VL,0.620253164556962,0.229957805907173,0.0,0.0,0.05907172995780591,0.1751054852320675,okvqa,counterfactual
Phi3,0.43248945147679324,0.14767932489451477,0.0,0.0,0.09915611814345991,0.2974683544303797,okvqa,counterfactual
Qwen2-VL-ft,0.48945147679324896,0.010548523206751054,0.008438818565400843,0.9662447257383966,0.008438818565400843,0.9662447257383966,okvqa,counterfactual
Phi3-ft,0.4472573839662447,0.02531645569620253,0.016877637130801686,0.8713080168776371,0.016877637130801686,0.8734177215189873,okvqa,counterfactual
GPT-4o-mini,0.6118143459915611,0.2679324894514768,0.0,0.0,0.13291139240506328,0.3670886075949367,okvqa,counterfactual
