guid,orig_answer,perturbed_answer,gpt_answer,perturbed_answer_3,gpt_answer_3
d5bbdc180dba11ecb1e81171463288e9,green,orange,orange,ora,ora
d5bbdc180dba11ecb1e81171463288e9,green,golden,gold,gol,gol
d5bc08dc0dba11ecb1e81171463288e9,grey,gray,gray,gra,gra
d5bc19580dba11ecb1e81171463288e9,brown,black,black,bla,bla
d5bc61560dba11ecb1e81171463288e9,red,gold,gold,gol,gol
d5bc69940dba11ecb1e81171463288e9,silver,blue,blue,blu,blu
d5bc812c0dba11ecb1e81171463288e9,green,golden,gold,gol,gol
d5bc83d40dba11ecb1e81171463288e9,green,gray,gray,gra,gra
d5bc84920dba11ecb1e81171463288e9,white,purple,purple,pur,pur
d5bc8c940dba11ecb1e81171463288e9,white,blue,blue,blu,blu
d5bcace20dba11ecb1e81171463288e9,white,blue,blue,blu,blu
d5bcbc320dba11ecb1e81171463288e9,green,pink,pink,pin,pin
d5bcc2360dba11ecb1e81171463288e9,red,purple,purple,pur,pur
d5bcc2360dba11ecb1e81171463288e9,red,black,black,bla,bla
d5bcc2360dba11ecb1e81171463288e9,red,black,black,bla,bla
d5bcc2360dba11ecb1e81171463288e9,red,golden,gold,gol,gol
d5bcc8440dba11ecb1e81171463288e9,red,gray,gray,gra,gra
d5bcd9060dba11ecb1e81171463288e9,white,pink,pink,pin,pin
d5bcd9060dba11ecb1e81171463288e9,white,orange,orange,ora,ora
d5bcf2b00dba11ecb1e81171463288e9,black,yellow,yellow,yel,yel
d5bcf2b00dba11ecb1e81171463288e9,black,orange,orange,ora,ora
d5bcf9180dba11ecb1e81171463288e9,red,orange,orange,ora,ora
d5bcf9180dba11ecb1e81171463288e9,red,yellow,yellow,yel,yel
d5bd07820dba11ecb1e81171463288e9,red,yellow,yellow,yel,yel
d5bd07820dba11ecb1e81171463288e9,red,orange,orange,ora,ora
d5bd1aa60dba11ecb1e81171463288e9,green,blue,blue,blu,blu
d5bd1b1e0dba11ecb1e81171463288e9,black,white,white,whi,whi
d5bd1c720dba11ecb1e81171463288e9,yellow,red,red,red,red
